project,#u_classes,#d_classes,#de_classes,#dne_classes,#dw_classes,#dnw_classes,#uv_classes,#dv_classes,#dev_classes,#dnev_classes,#dwv_classes,#dnwv_classes,#u_sloc,#d_sloc,#de_sloc,#dne_sloc,#dw_sloc,#dnw_sloc,#uv_classes_sloc,#dv_classes_sloc,#dev_classes_sloc,#dnev_classes_sloc,#dwv_classes_sloc,#dnwv_classes_sloc,#uv_p1_r1,#uv_p1_r2,#uv_p1_r3,#uv_p1_r4,#uv_p2_r1,#uv_p2_r2,#uv_p2_r3,#uv_p2_r4,#uv_p3_r1,#uv_p3_r2,#uv_p3_r3,#uv_p3_r4,#dv_p1_r1,#dv_p1_r2,#dv_p1_r3,#dv_p1_r4,#dv_p2_r1,#dv_p2_r2,#dv_p2_r3,#dv_p2_r4,#dv_p3_r1,#dv_p3_r2,#dv_p3_r3,#dv_p3_r4,#dev_p1_r1,#dev_p1_r2,#dev_p1_r3,#dev_p1_r4,#dev_p2_r1,#dev_p2_r2,#dev_p2_r3,#dev_p2_r4,#dev_p3_r1,#dev_p3_r2,#dev_p3_r3,#dev_p3_r4,#dnev_p1_r1,#dnev_p1_r2,#dnev_p1_r3,#dnev_p1_r4,#dnev_p2_r1,#dnev_p2_r2,#dnev_p2_r3,#dnev_p2_r4,#dnev_p3_r1,#dnev_p3_r2,#dnev_p3_r3,#dnev_p3_r4,#dwv_p1_r1,#dwv_p1_r2,#dwv_p1_r3,#dwv_p1_r4,#dwv_p2_r1,#dwv_p2_r2,#dwv_p2_r3,#dwv_p2_r4,#dwv_p3_r1,#dwv_p3_r2,#dwv_p3_r3,#dwv_p3_r4,#dnwv_p1_r1,#dnwv_p1_r2,#dnwv_p1_r3,#dnwv_p1_r4,#dnwv_p2_r1,#dnwv_p2_r2,#dnwv_p2_r3,#dnwv_p2_r4,#dnwv_p3_r1,#dnwv_p3_r2,#dnwv_p3_r3,#dnwv_p3_r4
finn-no.xss-html-filter,1,0,0,0,0,0,1,0,0,0,0,0,210,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINRAOS.DataGenerator,107869,48722,25555,23167,22942,25780,3776,498,350,148,298,200,1240309,678712,402477,276235,355245,323467,331714,46739,33258,13481,29121,17618,0,0,224,791,0,2,1644,1688,0,0,0,5075,0,0,63,26,0,2,295,291,0,0,0,483,0,0,55,6,0,2,200,168,0,0,0,413,0,0,8,20,0,0,95,123,0,0,0,70,0,0,50,4,0,2,141,155,0,0,0,410,0,0,13,22,0,0,154,136,0,0,0,73
firebase.firebase-admin-java,634,3697,3663,34,2705,992,30,103,99,4,83,20,13609,95281,93221,2060,57595,37686,3793,9832,9264,568,7893,1939,0,0,0,0,0,0,5,6,0,0,0,96,0,0,11,2,0,0,54,14,0,0,0,126,0,0,11,2,0,0,54,10,0,0,0,74,0,0,0,0,0,0,0,4,0,0,0,52,0,0,10,0,0,0,30,8,0,0,0,74,0,0,1,2,0,0,24,6,0,0,0,52
firebase.geofire-java,42,296,286,10,286,10,2,12,9,3,9,3,1081,7231,6773,458,6773,458,208,1093,691,402,691,402,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,13,0,0,0,0,1,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
firery.mirs,80,15206,6405,8801,9460,5746,33,1392,748,644,866,526,2291,568618,236660,331958,288220,280398,1072,150378,72604,77774,78953,71425,0,0,0,0,0,0,9,15,0,0,0,66,0,0,65,78,0,1,704,631,0,0,0,2411,0,0,18,32,0,0,363,271,0,0,0,1364,0,0,47,46,0,1,341,360,0,0,0,1047,0,0,18,29,0,0,353,349,0,0,0,1598,0,0,47,49,0,1,351,282,0,0,0,813
fireshort.spring-boot-quickstart,103,3323,2918,405,2918,405,17,268,223,45,228,40,1433,99912,86575,13337,86253,13659,781,29378,26035,3343,26335,3043,0,0,9,0,0,0,3,2,0,0,0,43,0,0,38,3,0,0,108,60,0,0,0,723,0,0,29,3,0,0,75,44,0,0,0,685,0,0,9,0,0,0,33,16,0,0,0,38,0,0,29,3,0,0,75,44,0,0,0,699,0,0,9,0,0,0,33,16,0,0,0,24
fission.fission,52,2,2,0,0,2,5,0,0,0,0,0,2096,3,3,0,0,3,675,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flipkart-incubator.Lois,13,17,0,17,0,17,0,1,0,1,0,1,223,454,0,454,0,454,0,262,0,262,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
flipkart-incubator.zjsonpatch,20,1252,521,731,521,731,0,65,18,47,18,47,777,66570,16124,50446,16124,50446,0,13134,2340,10794,2340,10794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,82,0,0,0,14,0,0,11,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,10,79,0,0,0,6,0,0,11,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,10,79,0,0,0,6
floragunncom.search-guard,181,2299,1970,329,2004,295,41,95,50,45,52,43,5371,52960,40910,12050,42558,10402,2931,8384,5592,2792,6008,2376,0,0,1,1,0,0,21,6,0,0,0,73,0,0,40,1,0,0,45,38,0,0,0,87,0,0,7,0,0,0,13,1,0,0,0,43,0,0,33,1,0,0,32,37,0,0,0,44,0,0,7,1,0,0,13,1,0,0,0,58,0,0,33,0,0,0,32,37,0,0,0,29
