,dependency,enterprise,well_known,used_projects,contributors_in_used_projects,cves,spotbugs_vuls
61,org_junit_jupiter_junit-jupiter-api_5.4.2_junit-jupiter-api-5.4.2.jar,0,1,1,26,0,2
62,com_google_guava_guava_26.0-jre_guava-26.0-jre.jar,1,1,11,518,0,63
63,org_slf4j_slf4j-api_1.6.6_slf4j-api-1.6.6.jar,0,0,14,118,0,5
64,org_jongo_jongo_1.3.0_jongo-1.3.0.jar,1,0,2,21,0,1
65,com_sun_jersey_jersey-server_1.19.2_jersey-server-1.19.2.jar,0,0,1,4,0,37
66,com_google_collections_google-collections_1.0_google-collections-1.0.jar,0,1,8,202,0,28
67,com_sun_jersey_jersey-json_1.19.2_jersey-json-1.19.2.jar,0,0,1,4,0,5
68,javax_ws_rs_jsr311-api_1.1.1_jsr311-api-1.1.1.jar,0,0,8,251,0,1
69,org_mongodb_mongodb-driver_3.10.2_mongodb-driver-3.10.2.jar,0,0,1,4,0,8
70,com_sun_jersey_jersey-servlet_1.19.2_jersey-servlet-1.19.2.jar,0,0,1,4,0,44
71,ch_qos_logback_logback-classic_1.0.6_logback-classic-1.0.6.jar,1,0,3,30,1,58
72,org_json4s_json4s-native_2.11_3.5.3_json4s-native_2.11-3.5.3.jar,0,0,1,28,0,0
73,com_github_scopt_scopt_2.11_3.7.0_scopt_2.11-3.7.0.jar,0,0,1,28,0,1
74,org_tensorflow_tensorflow_1.13.1_tensorflow-1.13.1.jar,1,1,1,28,0,0
75,org_tensorflow_tensorflow-hadoop_1.13.1_tensorflow-hadoop-1.13.1.jar,1,1,1,28,0,0
76,org_scala-lang_modules_scala-parser-combinators_2.11_1.1.0_scala-parser-combinators_2.11-1.1.0.jar,0,0,1,28,0,1
77,com_google_protobuf_protobuf-java_3.5.1_protobuf-java-3.5.1.jar,1,1,9,4348,0,11
78,org_scala-lang_scala-library_2.11.8_scala-library-2.11.8.jar,0,0,11,424,1,251
79,org_apache_commons_commons-lang3_3.8.1_commons-lang3-3.8.1.jar,1,1,27,840,0,54
80,com_google_code_gson_gson_2.2.4_gson-2.2.4.jar,1,1,32,646,0,3
81,org_jetbrains_kotlin_kotlin-reflect_1.3.0_kotlin-reflect-1.3.0.jar,1,0,1,507,3,51
82,org_jetbrains_kotlin_kotlin-script-runtime_1.3.0_kotlin-script-runtime-1.3.0.jar,1,0,1,507,3,2
83,org_jetbrains_kotlin_kotlin-stdlib-jdk8_1.3.0_kotlin-stdlib-jdk8-1.3.0.jar,1,0,1,507,3,5
84,org_jetbrains_teamcity_configs-dsl-kotlin_2019.1_configs-dsl-kotlin-2019.1.jar,0,0,3,579,0,24
85,org_jfree_jfreechart_1.0.19_jfreechart-1.0.19.jar,0,0,8,296,0,149
86,xerces_xercesImpl_2.11.0_xercesImpl-2.11.0.jar,0,0,12,212,1,59
87,org_apache_logging_log4j_log4j-core_2.0.1_log4j-core-2.0.1.jar,1,1,2,48,1,332
88,commons-configuration_commons-configuration_1.9_commons-configuration-1.9.jar,0,1,5,98,0,74
89,org_apache_logging_log4j_log4j-slf4j-impl_2.0.1_log4j-slf4j-impl-2.0.1.jar,1,1,2,48,1,2
90,org_apache_commons_commons-math3_3.4_commons-math3-3.4.jar,1,1,3,77,0,39
91,org_graphstream_gs-ui_1.3_gs-ui-1.3.jar,0,0,2,48,0,51
92,org_graphstream_gs-core_1.3_gs-core-1.3.jar,0,0,3,53,0,230
93,org_slf4j_slf4j-api_1.7.21_slf4j-api-1.7.21.jar,0,0,37,1148,0,56
94,org_springframework_boot_spring-boot-starter-aop_1.5.4.RELEASE_spring-boot-starter-aop-1.5.4.RELEASE.jar,0,0,2,4,2,0
95,commons-io_commons-io_2.5_commons-io-2.5.jar,1,1,54,1198,0,49
96,commons-configuration_commons-configuration_1.10_commons-configuration-1.10.jar,0,1,23,720,0,74
97,mysql_mysql-connector-java_5.1.38_mysql-connector-java-5.1.38.jar,0,0,12,69,4,146
98,commons-fileupload_commons-fileupload_1.3.1_commons-fileupload-1.3.1.jar,0,1,23,323,2,13
99,com_alibaba_druid_1.0.28_druid-1.0.28.jar,1,0,6,71,0,207
100,org_springframework_spring-context-support_4.3.9.RELEASE_spring-context-support-4.3.9.RELEASE.jar,1,1,3,9,9,41
101,com_alibaba_fastjson_1.2.24_fastjson-1.2.24.jar,1,0,3,38,1,58
102,org_springframework_boot_spring-boot-configuration-processor_1.5.4.RELEASE_spring-boot-configuration-processor-1.5.4.RELEASE.jar,0,0,3,9,2,4
103,org_springframework_boot_spring-boot-starter-web_1.5.4.RELEASE_spring-boot-starter-web-1.5.4.RELEASE.jar,0,0,5,38,2,0
104,org_projectlombok_lombok_1.16.14_lombok-1.16.14.jar,0,0,2,3,0,13
105,org_springframework_boot_spring-boot-starter-actuator_1.5.4.RELEASE_spring-boot-starter-actuator-1.5.4.RELEASE.jar,0,0,2,7,2,0
106,org_apache_shiro_shiro-core_1.3.2_shiro-core-1.3.2.jar,0,1,8,47,0,120
107,org_mybatis_spring_boot_mybatis-spring-boot-starter_1.2.0_mybatis-spring-boot-starter-1.2.0.jar,1,0,2,12,0,0
108,org_apache_shiro_shiro-spring_1.3.2_shiro-spring-1.3.2.jar,0,1,8,47,0,5
109,commons-codec_commons-codec_1.10_commons-codec-1.10.jar,1,1,51,1873,0,33
110,org_ini4j_ini4j_0.5.2_ini4j-0.5.2.jar,0,0,2,44,0,10
111,org_seleniumhq_selenium_selenium-java_2.35.0_selenium-java-2.35.0.jar,1,0,1,33,0,12
112,commons-jxpath_commons-jxpath_1.3_commons-jxpath-1.3.jar,0,1,2,52,0,27
113,com_opera_operalaunchers_1.1_operalaunchers-1.1.jar,1,0,1,33,14,0
114,com_google_guava_guava_14.0_guava-14.0.jar,1,1,7,136,1,51
115,org_apache_commons_commons-exec_1.1_commons-exec-1.1.jar,1,1,3,69,0,4
116,org_apache_tinkerpop_gremlin-core_3.3.0_gremlin-core-3.3.0.jar,0,1,1,20,0,48
117,commons-dbcp_commons-dbcp_1.4_commons-dbcp-1.4.jar,0,1,33,1070,0,80
118,com_mashape_unirest_unirest-java_1.4.9_unirest-java-1.4.9.jar,0,0,7,102,0,3
119,org_jooq_jooq-meta_3.7.0_jooq-meta-3.7.0.jar,1,0,1,20,0,20
120,org_json_json_20090211_json-20090211.jar,0,0,24,473,0,1
121,org_apache_commons_commons-collections4_4.0_commons-collections4-4.0.jar,1,1,5,70,1,16
122,org_slf4j_slf4j-log4j12_1.7.21_slf4j-log4j12-1.7.21.jar,0,0,11,452,0,27
123,org_slf4j_jcl-over-slf4j_1.7.21_jcl-over-slf4j-1.7.21.jar,0,0,6,90,0,21
124,org_apache_tinkerpop_gremlin-test_3.3.0_gremlin-test-3.3.0.jar,0,1,1,20,0,42
125,org_reflections_reflections_0.9.10_reflections-0.9.10.jar,0,0,14,428,0,38
126,com_esotericsoftware_yamlbeans_yamlbeans_1.09_yamlbeans-1.09.jar,1,0,3,39,0,2
127,org_elasticsearch_client_transport_5.3.1_transport-5.3.1.jar,0,1,1,20,2,0
128,org_jooq_jooq_3.7.0_jooq-3.7.0.jar,1,0,1,20,0,116
129,com_googlecode_json-simple_json-simple_1.1.1_json-simple-1.1.1.jar,1,1,34,1298,0,0
130,org_json_json_20160212_json-20160212.jar,0,0,7,303,0,1
131,org_apache_tinkerpop_gremlin-groovy_3.3.0_gremlin-groovy-3.3.0.jar,0,1,1,20,1,70
132,org_xerial_sqlite-jdbc_3.8.11.2_sqlite-jdbc-3.8.11.2.jar,0,0,3,73,0,26
133,io_searchbox_jest_5.3.3_jest-5.3.3.jar,1,0,2,66,0,2
134,org_apache_logging_log4j_log4j-api_2.9.1_log4j-api-2.9.1.jar,1,1,5,157,0,51
135,org_elasticsearch_elasticsearch_5.3.1_elasticsearch-5.3.1.jar,1,1,1,20,2,390
136,pl_allegro_tech_embedded-elasticsearch_2.1.0_embedded-elasticsearch-2.1.0.jar,0,0,1,20,0,15
137,com_samskivert_jmustache_1.13_jmustache-1.13.jar,0,0,1,20,0,3
138,org_elasticsearch_plugin_transport-netty4-client_5.3.1_transport-netty4-client-5.3.1.jar,0,1,1,20,2,17
139,com_google_cloud_dataflow_google-cloud-dataflow-java-sdk-all_1.9.0_google-cloud-dataflow-java-sdk-all-1.9.0.jar,1,1,1,4,0,331
140,org_apache_commons_commons-csv_1.1_commons-csv-1.1.jar,1,1,4,175,0,1
141,com_fasterxml_jackson_dataformat_jackson-dataformat-yaml_2.7.4_jackson-dataformat-yaml-2.7.4.jar,0,0,1,4,0,13
142,com_google_code_gson_gson_2.6.2_gson-2.6.2.jar,1,1,12,273,0,3
143,org_webjars_bower_bpmn-js_0.20.5_bpmn-js-0.20.5.jar,0,0,1,2,0,0
144,org_springframework_boot_spring-boot-starter-web_2.0.2.RELEASE_spring-boot-starter-web-2.0.2.RELEASE.jar,0,0,2,8,0,0
145,org_webjars_stomp-websocket_2.3.3_stomp-websocket-2.3.3.jar,0,0,1,2,0,0
146,org_webjars_jquery_3.1.1_jquery-3.1.1.jar,0,0,2,10,0,0
147,org_webjars_webjars-locator_0.34_webjars-locator-0.34.jar,0,0,1,2,0,12
148,org_webjars_bootstrap_3.3.7_bootstrap-3.3.7.jar,0,0,2,3,0,0
149,com_h2database_h2_1.4.197_h2-1.4.197.jar,0,0,11,174,2,257
150,org_webjars_sockjs-client_1.0.2_sockjs-client-1.0.2.jar,0,0,1,2,0,0
151,org_eclipse_jetty_jetty-servlet_9.4.0.v20161208_jetty-servlet-9.4.0.v20161208.jar,1,1,1,15,3,23
152,org_yaml_snakeyaml_1.17_snakeyaml-1.17.jar,0,0,7,107,0,10
153,org_seleniumhq_selenium_selenium-chrome-driver_3.141.59_selenium-chrome-driver-3.141.59.jar,1,0,3,35,0,0
154,org_eclipse_jetty_jetty-server_9.4.0.v20161208_jetty-server-9.4.0.v20161208.jar,1,1,1,15,9,124
155,org_apache_spark_spark-core_2.11_1.6.1_spark-core_2.11-1.6.1.jar,1,1,1,15,8,779
156,com_machinepublishers_jbrowserdriver_1.0.1_jbrowserdriver-1.0.1.jar,0,0,2,33,0,46
157,args4j_args4j_2.0.29_args4j-2.0.29.jar,1,0,3,24,0,12
158,org_pf4j_pf4j_2.6.0_pf4j-2.6.0.jar,0,0,1,15,0,131
159,org_apache_nutch_nutch_1.13_nutch-1.13.jar,0,1,1,15,0,606
160,org_apache_solr_solr-solrj_6.4.0_solr-solrj-6.4.0.jar,0,1,2,55,0,140
161,com_machinepublishers_jbrowserdriver_0.16.4_jbrowserdriver-0.16.4.jar,0,0,1,15,0,43
162,org_apache_tika_tika-parsers_1.14_tika-parsers-1.14.jar,1,1,1,15,10,136
