project,#u_classes,#d_classes,#uv_classes,#dv_classes,#u_sloc,#d_sloc,#uv_classes_sloc,#dv_classes_sloc,#uv_p1_r1,#uv_p1_r2,#uv_p1_r3,#uv_p1_r4,#uv_p2_r1,#uv_p2_r2,#uv_p2_r3,#uv_p2_r4,#uv_p3_r1,#uv_p3_r2,#uv_p3_r3,#uv_p3_r4,#dv_p1_r1,#dv_p1_r2,#dv_p1_r3,#dv_p1_r4,#dv_p2_r1,#dv_p2_r2,#dv_p2_r3,#dv_p2_r4,#dv_p3_r1,#dv_p3_r2,#dv_p3_r3,#dv_p3_r4
xSAVIKx.AndroidScreencast,129,2428,3,27,3592,56875,140,3035,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,32,0,0,0,13
TheHolyWaffle.TeamSpeak-3-Java-API,130,34,0,2,7897,2060,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
tdunning.log-synth,130,5525,0,96,3268,195346,0,29866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,165,0,0,0,162
Comcast.jrugged,131,6784,2,208,3410,191355,129,25672,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,45,0,0,0,431,0,0,0,26
jkuhnert.ognl,132,423,6,27,7587,20628,1833,3603,0,0,0,3,0,0,0,8,0,0,0,2,0,0,0,15,0,0,0,40,0,0,0,3
webbit.webbit,132,814,2,5,4082,27810,157,374,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1
antlr.stringtemplate4,133,117,10,4,6271,5889,3478,442,0,0,0,4,0,0,0,12,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0
jwtk.jjwt,133,647,3,19,3379,40073,284,2889,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0
geosolutions-it.geoserver-manager,134,611,0,19,6805,34314,0,3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,58,0,0,0,2
normanmaurer.netty-in-action,135,2897,1,34,1552,113399,159,2407,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,13,0,0,0,1
gearman.java-service,137,39,6,3,3943,2117,381,114,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1
acciente.oacc-core,137,4621,41,189,7430,169869,2672,15676,0,0,0,0,0,0,0,1,0,0,0,164,0,0,0,20,0,0,0,366,0,0,0,30
forcedotcom.wsc,138,864,10,39,8384,38099,1603,7983,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,68,0,0,0,3
joestelmach.natty,140,585,6,104,10913,29997,7846,15589,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,3,0,0,0,14,0,0,0,195
mapstruct.mapstruct-examples,140,2418,0,28,1940,75322,0,12121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3
OpenNMS.newts,140,4120,4,38,3093,93095,248,2820,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,8,0,0,0,29,0,0,0,24
Simmetrics.simmetrics,142,1809,0,3,1764,33961,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
javalite.activeweb,143,6962,3,122,5306,216040,269,14363,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,25,0,0,2,139,0,0,0,53
Esri.spatial-framework-for-hadoop,144,1127,2,44,2580,84185,252,9173,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,79,0,0,0,0
jitsi.jitsi-videobridge,144,4506,5,227,8366,168483,1254,20442,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,38,0,0,0,300,0,0,0,23
flaxsearch.luwak,146,4621,0,58,3164,115600,0,5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,82,0,0,0,6
